,county_state,date1,,date2,Pre_rally_beg,pre_rally_end,post_rally_beg,post_rally_end,average_growth_new_cases,pre_rally_rate,post_rally_rate,post_rally_growth_new_cases,post_rally_change_in_growth,pre_rally_rate,post_rally_rate,post_rally_growth_deaths
Mike Pence,Westmoreland_Pennsylvania,20200901,Westmoreland_Pennsylvania_20200901,9/1/2020,8/18/2020,9/1/2020,9/1/2020,9/15/2020,28.6%,24363,28614,17.45%,-38.95%,685,735,7.30%
Donald Trump,Kenosha _Wisconsin,20200901,Kenosha _Wisconsin_20200901,9/1/2020,8/18/2020,9/1/2020,9/1/2020,9/15/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Donald Trump,New Hanover_North Carolina,20200902,New Hanover_North Carolina_20200902,9/2/2020,8/19/2020,9/2/2020,9/2/2020,9/16/2020,-0.2%,40524,52205,28.82%,-11988.58%,294,365,24.15%
Mike Pence,Wake_North Carolina,20200903,Wake_North Carolina_20200903,9/3/2020,8/20/2020,9/3/2020,9/3/2020,9/17/2020,-5.9%,201510,242863,20.52%,-449.97%,2738,3204,17.02%
Mike Pence,Wake_North Carolina,20200903,Wake_North Carolina_20200903,9/3/2020,8/20/2020,9/3/2020,9/3/2020,9/17/2020,-5.9%,201510,242863,20.52%,-449.97%,2738,3204,17.02%
Donald Trump,Westmoreland_Pennsylvania,20200903,Westmoreland_Pennsylvania_20200903,9/3/2020,8/20/2020,9/3/2020,9/3/2020,9/17/2020,28.6%,24721,28982,17.24%,-39.69%,686,736,7.29%
Joe Biden,Milwaukee_Wisconsin,20200903,Milwaukee_Wisconsin_20200903,9/3/2020,8/20/2020,9/3/2020,9/3/2020,9/17/2020,8.8%,330503,399423,20.85%,135.99%,6777,7619,12.42%
Joe Biden,Kenosha _Wisconsin,20200903,Kenosha _Wisconsin_20200903,9/3/2020,8/20/2020,9/3/2020,9/3/2020,9/17/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Joe Biden,Milwaukee_Wisconsin,20200903,Milwaukee_Wisconsin_20200903,9/3/2020,8/20/2020,9/3/2020,9/3/2020,9/17/2020,8.8%,330503,399423,20.85%,135.99%,6777,7619,12.42%
Joe Biden,Dauphin_Pennsylvania,20200907,Dauphin_Pennsylvania_20200907,9/7/2020,8/24/2020,9/7/2020,9/7/2020,9/21/2020,-2.5%,46296,53798,16.20%,-746.35%,2284,2543,11.34%
Mike Pence,LaCrosse_Wisconsin,20200907,LaCrosse_Wisconsin_20200907,9/7/2020,8/24/2020,9/7/2020,9/7/2020,9/21/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Kamala Harris,Milwaukee_Wisconsin,20200907,Milwaukee_Wisconsin_20200907,9/7/2020,8/24/2020,9/7/2020,9/7/2020,9/21/2020,8.8%,341201,409831,20.11%,127.63%,6864,7709,12.31%
Kamala Harris,Milwaukee_Wisconsin,20200907,Milwaukee_Wisconsin_20200907,9/7/2020,8/24/2020,9/7/2020,9/7/2020,9/21/2020,8.8%,341201,409831,20.11%,127.63%,6864,7709,12.31%
Donald Trump,Palm Beach_Florida,20200908,Palm Beach_Florida_20200908,9/8/2020,8/25/2020,9/8/2020,9/8/2020,9/22/2020,-11.9%,589620,665859,12.93%,-208.91%,15758,18412,16.84%
Donald Trump,Forsyth_North Carolina,20200908,Forsyth_North Carolina_20200908,9/8/2020,8/25/2020,9/8/2020,9/8/2020,9/22/2020,-3.4%,86603,99921,15.38%,-555.72%,1068,1342,25.66%
Joe Biden,Macomb_Michigan,20200909,Macomb_Michigan_20200909,9/9/2020,8/26/2020,9/9/2020,9/9/2020,9/23/2020,1.6%,183979,211190,14.79%,809.02%,13706,15156,10.58%
Joe Biden,Wayne_Michigan,20200909,Wayne_Michigan_20200909,9/9/2020,8/26/2020,9/9/2020,9/9/2020,9/23/2020,-7.4%,441007,505868,14.71%,-297.83%,40433,44259,9.46%
Mike Pence,Westmoreland_Pennsylvania,20200909,Westmoreland_Pennsylvania_20200909,9/9/2020,8/26/2020,9/9/2020,9/9/2020,9/23/2020,28.6%,25684,30171,17.47%,-38.87%,686,747,8.89%
Mike Pence,Westmoreland_Pennsylvania,20200909,Westmoreland_Pennsylvania_20200909,9/9/2020,8/26/2020,9/9/2020,9/9/2020,9/23/2020,28.6%,25684,30171,17.47%,-38.87%,686,747,8.89%
Kamala Harris,Miami-Dade_Florida,20200910,Miami-Dade_Florida_20200910,9/10/2020,8/27/2020,9/10/2020,9/10/2020,9/24/2020,-14.2%,2227051,2484056,11.54%,-181.04%,35649,44703,25.40%
Donald Trump,Saginaw_Michigan,20200910,Saginaw_Michigan_20200910,9/10/2020,8/27/2020,9/10/2020,9/10/2020,9/24/2020,6.3%,36128,42442,17.48%,175.34%,1854,2054,10.79%
Mike Pence,Rockbridge_Virginia,20200910,Rockbridge_Virginia_20200910,9/10/2020,8/27/2020,9/10/2020,9/10/2020,9/24/2020,10.1%,1186,1442,21.59%,114.70%,14,29,107.14%
Mike Pence,Manhattan_New York,20200911,Manhattan_New York_20200911,9/11/2020,8/28/2020,9/11/2020,9/11/2020,9/25/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mike Pence,Manhattan_New York,20200911,Manhattan_New York_20200911,9/11/2020,8/28/2020,9/11/2020,9/11/2020,9/25/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Donald Trump,Somerset_Pennsylvania,20200911,Somerset_Pennsylvania_20200911,9/11/2020,8/28/2020,9/11/2020,9/11/2020,9/25/2020,41.4%,2451,3019,23.17%,-43.98%,42,45,7.14%
Donald Trump,Somerset_Pennsylvania,20200911,Somerset_Pennsylvania_20200911,9/11/2020,8/28/2020,9/11/2020,9/11/2020,9/25/2020,41.4%,2451,3019,23.17%,-43.98%,42,45,7.14%
Kamala Harris,Fairfax_Virginia,20200911,Fairfax_Virginia_20200911,9/11/2020,8/28/2020,9/11/2020,9/11/2020,9/25/2020,-10.2%,262036,300304,14.60%,-242.54%,7844,8635,10.08%
Donald Trump,Douglas_Nevada,20200912,Douglas_Nevada_20200912,9/12/2020,8/29/2020,9/12/2020,9/12/2020,9/26/2020,2.3%,3597,4295,19.41%,747.73%,14,15,7.14%
Donald Trump,Clark_Nevada,20200913,Clark_Nevada_20200913,9/13/2020,8/30/2020,9/13/2020,9/13/2020,9/27/2020,-6.2%,851851,963114,13.06%,-309.49%,16705,19905,19.16%
Donald Trump,Clark_Nevada,20200913,Clark_Nevada_20200913,9/13/2020,8/30/2020,9/13/2020,9/13/2020,9/27/2020,-6.2%,851851,963114,13.06%,-309.49%,16705,19905,19.16%
Donald Trump,Maricopa_Arizona,20200914,Maricopa_Arizona_20200914,9/14/2020,8/31/2020,9/14/2020,9/14/2020,9/28/2020,-13.3%,1901127,2097683,10.34%,-177.76%,43092,49104,13.95%
Donald Trump,Sacramento_California,20200914,Sacramento_California_20200914,9/14/2020,8/31/2020,9/14/2020,9/14/2020,9/28/2020,-6.8%,268234,322624,20.28%,-398.97%,4592,5781,25.89%
Mike Pence,Gallatin_Minnesota,20200914,Gallatin_Minnesota_20200914,9/14/2020,8/31/2020,9/14/2020,9/14/2020,9/28/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mike Pence,Rock_Wisconsin,20200914,Rock_Wisconsin_20200914,9/14/2020,8/31/2020,9/14/2020,9/14/2020,9/28/2020,39.1%,28014,37042,32.23%,-17.49%,388,477,22.94%
Kamala Harris,Fresno_California,20200915,Fresno_California_20200915,9/15/2020,9/1/2020,9/15/2020,9/15/2020,9/29/2020,-13.0%,369334,417814,13.13%,-201.12%,4444,5468,23.04%
Joe Biden,Hillsborough_Florida,20200915,Hillsborough_Florida_20200915,9/15/2020,9/1/2020,9/15/2020,9/15/2020,9/29/2020,-10.6%,540006,615014,13.89%,-231.52%,7956,9188,15.49%
Joe Biden,Osceola_Florida,20200915,Osceola_Florida_20200915,9/15/2020,9/1/2020,9/15/2020,9/15/2020,9/29/2020,-10.6%,161628,182819,13.11%,-223.29%,1869,2109,12.84%
Kamala Harris,Clark_Nevada,20200915,Clark_Nevada_20200915,9/15/2020,9/1/2020,9/15/2020,9/15/2020,9/29/2020,-6.2%,858740,971171,13.09%,-310.00%,16975,20147,18.69%
Mike Pence,Muskingum_Ohio,20200916,Muskingum_Ohio_20200916,9/16/2020,9/2/2020,9/16/2020,9/16/2020,9/30/2020,59.6%,4597,5968,29.82%,-49.94%,28,35,25.00%
Joe Biden,Lackawanna_Pennsylvania,20200917,Lackawanna_Pennsylvania_20200917,9/17/2020,9/3/2020,9/17/2020,9/17/2020,10/1/2020,6.3%,31364,36971,17.88%,183.54%,2999,3245,8.20%
Kamala Harris,Philadelphia_Pennsylvania,20200917,Philadelphia_Pennsylvania_20200917,9/17/2020,9/3/2020,9/17/2020,9/17/2020,10/1/2020,-7.3%,487932,542787,11.24%,-253.28%,24934,27234,9.22%
Donald Trump,Marathon_Wisconsin,20200917,Marathon_Wisconsin_20200917,9/17/2020,9/3/2020,9/17/2020,9/17/2020,10/1/2020,121.8%,12839,19985,55.66%,-54.29%,196,212,8.16%
Mike Pence,Maricopa_Arizona,20200918,Maricopa_Arizona_20200918,9/18/2020,9/4/2020,9/18/2020,9/18/2020,10/2/2020,-13.3%,1916601,2113469,10.27%,-177.26%,43865,49957,13.89%
Mike Pence,Maricopa_Arizona,20200918,Maricopa_Arizona_20200918,9/18/2020,9/4/2020,9/18/2020,9/18/2020,10/2/2020,-13.3%,1916601,2113469,10.27%,-177.26%,43865,49957,13.89%
Donald Trump,Bemidji_Minnesota,20200918,Bemidji_Minnesota_20200918,9/18/2020,9/4/2020,9/18/2020,9/18/2020,10/2/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Joe Biden,St Louis_Minnesota,20200918,St Louis_Minnesota_20200918,9/18/2020,9/4/2020,9/18/2020,9/18/2020,10/2/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Donald Trump,Cumberland_North Carolina,20200919,Cumberland_North Carolina_20200919,9/19/2020,9/5/2020,9/19/2020,9/19/2020,10/3/2020,1.6%,65113,81051,24.48%,1455.46%,1016,1148,12.99%
Joe Biden,Philadelphia_Pennsylvania,20200920,Philadelphia_Pennsylvania_20200920,9/20/2020,9/6/2020,9/20/2020,9/20/2020,10/4/2020,-7.3%,491426,548598,11.63%,-258.62%,25025,27337,9.24%
Donald Trump,Fulton_Ohio,20200921,Fulton_Ohio_20200921,9/21/2020,9/7/2020,9/21/2020,9/21/2020,10/5/2020,55.6%,3021,4212,39.42%,-29.15%,14,15,7.14%
Donald Trump,Montgomery_Ohio,20200921,Montgomery_Ohio_20200921,9/21/2020,9/7/2020,9/21/2020,9/21/2020,10/5/2020,10.6%,99289,119263,20.12%,89.81%,2017,2487,23.30%
Joe Biden,Manitowoc_Wisconsin,20200921,Manitowoc_Wisconsin_20200921,9/21/2020,9/7/2020,9/21/2020,9/21/2020,10/5/2020,90.5%,10495,18375,75.08%,-17.03%,28,54,92.86%
Kamala Harris,Genesee_Maine,20200922,Genesee_Maine_20200922,9/22/2020,9/8/2020,9/22/2020,9/22/2020,10/6/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Kamala Harris,Wayne_Michigan,20200922,Wayne_Michigan_20200922,9/22/2020,9/8/2020,9/22/2020,9/22/2020,10/6/2020,-7.4%,469216,530283,13.01%,-275.06%,41223,44773,8.61%
Mike Pence,Belknap_New Hampshire,20200922,Belknap_New Hampshire_20200922,9/22/2020,9/8/2020,9/22/2020,9/22/2020,10/6/2020,17.9%,1884,2256,19.75%,10.29%,56,60,7.14%
Donald Trump,Allegheny_Pennsylvania,20200922,Allegheny_Pennsylvania_20200922,9/22/2020,9/8/2020,9/22/2020,9/22/2020,10/6/2020,-1.5%,158376,184630,16.58%,-1242.72%,5093,5723,12.37%
Joe Biden,Mecklenburg_North Carolina,20200923,Mecklenburg_North Carolina_20200923,9/23/2020,9/9/2020,9/23/2020,9/23/2020,10/7/2020,-8.6%,382621,434950,13.68%,-258.58%,4771,5382,12.81%
Donald Trump,Duval_Florida,20200924,Duval_Florida_20200924,9/24/2020,9/10/2020,9/24/2020,9/24/2020,10/8/2020,-10.1%,404322,459847,13.73%,-236.22%,4713,6127,30.00%
Mike Pence,Hennepin_Minnesota,20200924,Hennepin_Minnesota_20200924,9/24/2020,9/10/2020,9/24/2020,9/24/2020,10/8/2020,2.7%,353909,419562,18.55%,576.42%,12776,14059,10.04%
Donald Trump,Mecklenburg_North Carolina,20200924,Mecklenburg_North Carolina_20200924,9/24/2020,9/10/2020,9/24/2020,9/24/2020,10/8/2020,-8.6%,384020,436848,13.76%,-259.51%,4789,5397,12.70%
Mike Pence,Eau Claire_Wisconsin,20200924,Eau Claire_Wisconsin_20200924,9/24/2020,9/10/2020,9/24/2020,9/24/2020,10/8/2020,53.7%,19681,30582,55.39%,3.20%,84,100,19.05%
Donald Trump,Miami-Dade_Florida,20200925,Miami-Dade_Florida_20200925,9/25/2020,9/11/2020,9/25/2020,9/25/2020,10/9/2020,-14.2%,2321163,2569996,10.72%,-175.28%,41914,49524,18.16%
Donald Trump,Fulton_Georgia,20200925,Fulton_Georgia_20200925,9/25/2020,9/11/2020,9/25/2020,9/25/2020,10/9/2020,-7.9%,373575,427925,14.55%,-283.28%,7845,8670,10.52%
Donald Trump,Warwick_Virginia,20200925,Warwick_Virginia_20200925,9/25/2020,9/11/2020,9/25/2020,9/25/2020,10/9/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Donald Trump,Dauphin_Pennsylvania,20200926,Dauphin_Pennsylvania_20200926,9/26/2020,9/12/2020,9/26/2020,9/26/2020,10/10/2020,-2.5%,51274,58929,14.93%,-695.50%,2424,2728,12.54%
Kamala Harris,Wake_North Carolina,20200928,Wake_North Carolina_20200928,9/28/2020,9/14/2020,9/28/2020,9/28/2020,10/12/2020,-5.9%,239809,278944,16.32%,-378.31%,3247,3862,18.94%
Donald Trump,Cuyahoga_Ohio,20200929,Cuyahoga_Ohio_20200929,9/29/2020,9/15/2020,9/29/2020,9/29/2020,10/13/2020,-4.7%,240452,271085,12.74%,-371.98%,9054,9961,10.02%
Donald Trump,Cuyahoga_Ohio,20200929,Cuyahoga_Ohio_20200929,9/29/2020,9/15/2020,9/29/2020,9/29/2020,10/13/2020,-4.7%,240452,271085,12.74%,-371.98%,9054,9961,10.02%
Mike Pence,Lancaster_Pennsylvania,20200929,Lancaster_Pennsylvania_20200929,9/29/2020,9/15/2020,9/29/2020,9/29/2020,10/13/2020,-3.8%,106655,124332,16.57%,-538.73%,6364,6907,8.53%
Mike Pence,Fulton_Georgia,20200930,Fulton_Georgia_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,-7.9%,380224,445195,17.09%,-315.26%,7943,8765,10.35%
Donald Trump,St Louis_Minnesota,20200930,St Louis_Minnesota_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Joe Biden,Cuyahoga_Ohio,20200930,Cuyahoga_Ohio_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,-4.7%,241266,272193,12.82%,-373.66%,9080,9974,9.85%
Joe Biden,Stark_Ohio,20200930,Stark_Ohio_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,12.6%,39073,47909,22.61%,79.28%,2391,2665,11.46%
Joe Biden,Allegheny_Pennsylvania,20200930,Allegheny_Pennsylvania_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,-1.5%,166110,194035,16.81%,-1258.86%,5243,5866,11.88%
Joe Biden,Cambria_Pennsylvania,20200930,Cambria_Pennsylvania_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,38.2%,7754,10405,34.19%,-10.44%,98,105,7.14%
