name,city,county,state,county_state,date,reason
Mike Pence,Exeter,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200901,Jobs campaign rally at construction company
Donald Trump,Kenosha,Kenosha ,Wisconsin,Kenosha _Wisconsin,20200901,Meeting with law enforcement and business owners following civil unrest
Donald Trump,Wilmington,New Hanover,North Carolina,New Hanover_North Carolina,20200902,Commemorated 75th anniversary of end of World War II
Mike Pence,Raleigh,Wake,North Carolina,Wake_North Carolina,20200903,Anti-abortion event at church
Mike Pence,Raleigh,Wake,North Carolina,Wake_North Carolina,20200903,Cops for Trump campaign rally
Donald Trump,Latrobe,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200903,Airport campaign rally
Joe Biden,Wauwatosa,Milwaukee,Wisconsin,Milwaukee_Wisconsin,20200903,Backyard back-to-school campaign event
Joe Biden,Kenosha,Kenosha ,Wisconsin,Kenosha _Wisconsin,20200903,Meeting with community members following Jacob Blake shooting
Joe Biden,Milwaukee,Milwaukee,Wisconsin,Milwaukee_Wisconsin,20200903,Private meeting with family of Jacob Blake
Joe Biden,Harrisburg,Dauphin,Pennsylvania,Dauphin_Pennsylvania,20200907,Labor Day event at Pennsylvania AFL-CIO headquarters
Mike Pence,LaCrosse,LaCrosse,Wisconsin,LaCrosse_Wisconsin,20200907,Event at Dairyland Power Cooperative on jobs
Kamala Harris,Milwaukee,Milwaukee,Wisconsin,Milwaukee_Wisconsin,20200907,"Event with black business owners, meeting with Jacob Blake's family"
Kamala Harris,Milwaukee,Milwaukee,Wisconsin,Milwaukee_Wisconsin,20200907,Meeting with IBEW union workers
Donald Trump,Jupiter,Palm Beach,Florida,Palm Beach_Florida,20200908,Event on protecting Everglades
Donald Trump,Winston-Salem,Forsyth,North Carolina,Forsyth_North Carolina,20200908,Airport campaign rally
Joe Biden,Warren,Macomb,Michigan,Macomb_Michigan,20200909,Campaign event with United Auto Workers union
Joe Biden,Detroit,Wayne,Michigan,Wayne_Michigan,20200909,Backyard campaign event with steelworkers
Mike Pence,Export,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200909,Anti-abortion event at church
Mike Pence,Export,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200909,Workers for Trump campaign event
Kamala Harris,Miami,Miami-Dade,Florida,Miami-Dade_Florida,20200910,Roundtable on African American issues at FMU
Donald Trump,Freeland,Saginaw,Michigan,Saginaw_Michigan,20200910,Airport campaign rally in Saginaw Co.
Mike Pence,Lexington,Rockbridge,Virginia,Rockbridge_Virginia,20200910,Speech to cadets at Virginia Military Academy
Mike Pence,New York,Manhattan,New York,Manhattan_New York,20200911,9/11 commemoration event
Joe Biden,New York,Manhattan,New York,Manhattan_New York,20200911,9/11 commemoration event
Donald Trump,Shanksville,Somerset,Pennsylvania,Somerset_Pennsylvania,20200911,9/11 commemoration event
Joe Biden,Shanksville,Somerset,Pennsylvania,Somerset_Pennsylvania,20200911,9/11 commemoration event
Kamala Harris,Fairfax,Fairfax,Virginia,Fairfax_Virginia,20200911,9/11 commemoration event
Donald Trump,Minden,Douglas,Nevada,Douglas_Nevada,20200912,Airport campaign rally
Donald Trump,Henderson,Clark,Nevada,Clark_Nevada,20200913,Campaign rally at manufacturing facility
Donald Trump,Las Vegas,Clark,Nevada,Clark_Nevada,20200913,Latinos for Trump roundtable at Treasure Island casino
Donald Trump,Phoenix,Maricopa,Arizona,Maricopa_Arizona,20200914,Latinos for Trump campaign event
Donald Trump,McClellan Park,Sacramento,California,Sacramento_California,20200914,"Briefing on Calif. wildfires, event honoring National Guard"
Mike Pence,Belgrade,Gallatin,Minnesota,Gallatin_Minnesota,20200914,Campaign rally for U.S. Sen. Steve Daines
Mike Pence,Janesville,Rock,Wisconsin,Rock_Wisconsin,20200914,Campaign rally at Holiday Inn
Kamala Harris,Fresno,Fresno,California,Fresno_California,20200915,Meeting with emergency personnel about Calif. wildfires
Joe Biden,Tampa,Hillsborough,Florida,Hillsborough_Florida,20200915,Veterans roundtable events
Joe Biden,Kissimmee,Osceola,Florida,Osceola_Florida,20200915,Hispanic Heritage Month event
Kamala Harris,Las Vegas,Clark,Nevada,Clark_Nevada,20200915,Event on COVID-19 impact on Latino families
Mike Pence,Zanesville,Muskingum,Ohio,Muskingum_Ohio,20200916,Workers for Trump campaign event
Joe Biden,Scranton,Lackawanna,Pennsylvania,Lackawanna_Pennsylvania,20200917,CNN Town Hall
Kamala Harris,Philadelphia,Philadelphia,Pennsylvania,Philadelphia_Pennsylvania,20200917,Backyard event with women leaders; meeting with Latino leaders
Donald Trump,Mosinee,Marathon,Wisconsin,Marathon_Wisconsin,20200917,Airport rally
Mike Pence,Litchfield Park,Maricopa,Arizona,Maricopa_Arizona,20200918,Veterans for Trump campaign event
Mike Pence,Phoenix,Maricopa,Arizona,Maricopa_Arizona,20200918,Hispanic Heritage month event
Donald Trump,Bemidji,Bemidji,Minnesota,Bemidji_Minnesota,20200918,Airport campaign rally
Joe Biden,Duluth,St Louis,Minnesota,St Louis_Minnesota,20200918,Tour and speech at union training center
Donald Trump,Fayetteville,Cumberland,North Carolina,Cumberland_North Carolina,20200919,Airport campaign rally
Joe Biden,Philadelphia,Philadelphia,Pennsylvania,Philadelphia_Pennsylvania,20200920,Speech on Supreme Court vacancy
Donald Trump,Swanton,Fulton,Ohio,Fulton_Ohio,20200921,Airport campaign rally
Donald Trump,Dayton,Montgomery,Ohio,Montgomery_Ohio,20200921,Airport speech on American workers
Joe Biden,Manitowoc,Manitowoc,Wisconsin,Manitowoc_Wisconsin,20200921,Tour and speech at aluminum manufacturing facility
Kamala Harris,Flint,Genesee,Maine,Genesee_Maine,20200922,Tour of local Black-owned businesses
Kamala Harris,Detroit,Wayne,Michigan,Wayne_Michigan,20200922,"""Shop talk"" event with Black community; get out the vote event"
Mike Pence,Gilford,Belknap,New Hampshire,Belknap_New Hampshire,20200922,Airport campaign rally
Donald Trump,Moon Township,Allegheny,Pennsylvania,Allegheny_Pennsylvania,20200922,Rally at Pittsburgh airport
Joe Biden,Charlotte,Mecklenburg,North Carolina,Mecklenburg_North Carolina,20200923,Black economic summit event
Donald Trump,Jacksonville,Duval,Florida,Duval_Florida,20200924,Airport campaign rally
Mike Pence,Minneapolis,Hennepin,Minnesota,Hennepin_Minnesota,20200924,Cops for Trump event
Donald Trump,Charlotte,Mecklenburg,North Carolina,Mecklenburg_North Carolina,20200924,America First Healthcare event
Mike Pence,Eau Claire,Eau Claire,Wisconsin,Eau Claire_Wisconsin,20200924,Made in America event at Midwest Manufacturing
Donald Trump,Doral,Miami-Dade,Florida,Miami-Dade_Florida,20200925,Latinos for Trump roundtable
Donald Trump,Atlanta,Fulton,Georgia,Fulton_Georgia,20200925,Speech on Black economic empowerment
Donald Trump,Newport News,Warwick,Virginia,Warwick_Virginia,20200925,Airport campaign rally
Donald Trump,Middletown,Dauphin,Pennsylvania,Dauphin_Pennsylvania,20200926,Airport campaign rally
Kamala Harris,Raleigh ,Wake,North Carolina,Wake_North Carolina,20200928,"Speech on Supreme Court vacancy, event with Black women"
Donald Trump,Cleveland,Cuyahoga,Ohio,Cuyahoga_Ohio,20200929,First presidential debate
Joe Biden,Cleveland,Cuyahoga,Ohio,Cuyahoga_Ohio,20200929,First presidential debate
Mike Pence,Lititz,Lancaster,Pennsylvania,Lancaster_Pennsylvania,20200929,Campaign rally and debate watch party
Mike Pence,Atlanta,Fulton,Georgia,Fulton_Georgia,20200930,Speech at Faith & Freedom Coalition Policy Conference
Donald Trump,Duluth,St Louis,Minnesota,St Louis_Minnesota,20200930,Airport campaign rally
Joe Biden,Cleveland,Cuyahoga,Ohio,Cuyahoga_Ohio,20200930,Train tour campaign stop
Joe Biden,Alliance,Stark,Ohio,Stark_Ohio,20200930,Train tour campaign stop
Joe Biden,Pittsburgh,Allegheny,Pennsylvania,Allegheny_Pennsylvania,20200930,Train tour campaign stop
Joe Biden,Johnstown,Cambria,Pennsylvania,Cambria_Pennsylvania,20200930,Drive-thru campaign rally
Joe Biden,Greensburg,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200930,Train tour campaign stop
Joe Biden,Latrobe,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200930,Train tour campaign stop
Joe Biden,New Alexandria,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20200930,Train tour campaign stop
MIke Pence,Carter Lake,Gilmer,Iowa,Gilmer_Iowa,20201001,Campaign rally
Mike Pence,Des Moines,Polk,Iowa,Polk_Iowa,20201001,Speech at Faith in Leadership: The Need for Revival
Joe Biden,Grand Rapids,Kent,Michigan,Kent_Michigan,20201002,Campaign event on rebuilding the economy
Kamala Harris,Las Vegas,Clark,Nevada,Clark_Nevada,20201002,Drive-thru voter mobilization event
Kamala Harris,Salt Lake City ,Salt Lake,Utah,Salt Lake_Utah,20201003,Visit to This Is The Place Heritage Park
Joe Biden,Miami,Miami-Dade,Florida,Miami-Dade_Florida,20201005,"Visit to Little Haiti, event in Little Havana, NBC town hall"
Joe Biden,Gettysburg,Adams,Pennsylvania,Adams_Pennsylvania,20201006,Speech on uniting the nation
Kamala Harris,Salt Lake City ,Salt Lake,Utah,Salt Lake_Utah,20201007,Vice presidential debate
Mike Pence,Salt Lake City ,Salt Lake,Utah,Salt Lake_Utah,20201007,Vice presidential debate
Mike Pence,Peoria,Maricopa,Arizona,Maricopa_Arizona,20201008,Campaign rally
Joe Biden,Phoenix,Maricopa,Arizona,Maricopa_Arizona,20201008,Meeting with American Indian tribal leaders; carpenters union event
Joe Biden,Tempe ,Maricopa,Arizona,Maricopa_Arizona,20201008,Small business visit
Mike Pence,Boulder City ,Clark,Nevada,Clark_Nevada,20201008,Campaign rally
Joe Biden,Las Vegas,Clark,Nevada,Clark_Nevada,20201009,Drive-in campaign event
Mike Pence,Orlando,Orange,Florida,Orange_Florida,20201010,Latinos for Trump event
Mike Pence,The Villages,Sumter,Florida,Sumter_Florida,20201010,Campaign rally
Joe Biden,Erie,Erie,Pennsylvania,Erie_Pennsylvania,20201010,Speech on the rebuilding the economy
Donald Trump,Sanford,Seminole,Florida,Seminole_Florida,20201012,Airport campaign rally
Mike Pence,Columbus,Franklin,Ohio,Franklin_Ohio,20201012,Campaign rally at fire station
Joe Biden,Cincinnati,Hamilton,Ohio,Hamilton_Ohio,20201012,Voter mobilization event
Joe Biden,Toledo,Lucas,Ohio,Lucas_Ohio,20201012,Campaign event on the economy
Joe Biden,Miramar ,Broward,Florida,Broward_Florida,20201013,Voter mobilization event
Joe Biden,Pembroke Pines,Broward,Florida,Broward_Florida,20201013,Campaign speech on plan for seniors
Donald Trump,Johnstown,Cambria,Pennsylvania,Cambria_Pennsylvania,20201013,Airport campaign rally
Mike Pence,Waukesha,Waukesha,Wisconsin,Waukesha_Wisconsin,20201013,Campaign rally
Donald Trump,Des Moines,Polk,Iowa,Polk_Iowa,20201014,Airport campaign rally
Mike Pence,Grand Rapids,Kent,Michigan,Kent_Michigan,20201014,Campaign rally
Mike Pence,Miami,Miami-Dade,Florida,Miami-Dade_Florida,20201015,Faith in America roundtable
Donald Trump,Miami,Miami-Dade,Florida,Miami-Dade_Florida,20201015,NBC town hall
Donald Trump,Greenville,Pitt,North Carolina,Pitt_North Carolina,20201015,Airport campaign rally
Joe Biden,Philadelphia,Philadelphia,Pennsylvania,Philadelphia_Pennsylvania,20201015,ABC town hall
Donald Trump,Ft. Myers,Lee,Florida,Lee_Florida,20201016,Speech on protecting seniors
Donald Trump,Ocala,Marion,Florida,Marion_Florida,20201016,Airport campaign rally
Donald Trump,Macon,Macon-Bidd,Georgia,Macon-Bidd_Georgia,20201016,Airport campaign rally
Joe Biden,Southfield,Oakland,Michigan,Oakland_Michigan,20201016,Speech on healthcare
Joe Biden,Detroit,Wayne,Michigan,Wayne_Michigan,20201016,Voter mobilization event
Mike Pence,Selma,Johnston,North Carolina,Johnston_North Carolina,20201016,Campaign rally
Donald Trump,Muskegon,Muskegon,Michigan,Muskegon_Michigan,20201017,Airport campaign rally
Mike Pence,Reading,Berks,Pennsylvania,Berks_Pennsylvania,20201017,Airport campaign rally
Donald Trump,Janesville,Rock,Wisconsin,Rock_Wisconsin,20201017,Airport campaign rally
Donald Trump,Las Vegas,Clark,Nevada,Clark_Nevada,20201018,Attends church service
Donald Trump,Carson City,Ormsby,Nevada,Ormsby_Nevada,20201018,Airport campaign rally
Joe Biden,Durham,Durham,North Carolina,Durham_North Carolina,20201018,Voter mobilization event
Donald Trump,Tucson,Pima,Arizona,Pima_Arizona,20201019,Airport campaign rally
Donald Trump,Prescott,Yavapai,Arizona,Yavapai_Arizona,20201019,Airport campaign rally
Kamala Harris,Jacksonville,Duval,Florida,Duval_Florida,20201019,Voter mobilization event
Kamala Harris,Orlando,Orange,Florida,Orange_Florida,20201019,Early voting drive-in rally
Mike Pence,Hermon,Penobscot,Maine,Penobscot_Maine,20201019,Campaign rally
Donald Trump,Erie,Erie,Pennsylvania,Erie_Pennsylvania,20201020,Airport campaign rally
Mike Pence,Portsmouth,Rockingham,New Hampshire,Rockingham_New Hampshire,20201021,Airport campaign rally
Kamala Harris,Asheville,Buncombe,North Carolina,Buncombe_North Carolina,20201021,Voter mobilization event
Kamala Harris,Charlotte,Mecklenburg,North Carolina,Mecklenburg_North Carolina,20201021,Voter mobilization event
Mike Pence,Cincinnati,Hamilton,Ohio,Hamilton_Ohio,20201021,Airport campaign rally
Donald Trump,Gastonia,Gastonia,Pennsylvania,Gastonia_Pennsylvania,20201021,Airport campaign rally
Mke Pence,Ft. Wayne,Allen,Indiana,Allen_Indiana,20201022,Campaign rally
Mike Pence,Waterford Township,Oakland,Michigan,Oakland_Michigan,20201022,Campaign rally
Joe Biden,Nashville,Davidson,Tennessee,Davidson_Tennessee,20201022,Presidential debate
Donald Trump,Nashville,Davidson,Tennessee,Davidson_Tennessee,20201022,Presidential debate
Donald Trump,Pensacola,Escambia,Florida,Escambia_Florida,20201023,Airport campaign rally
Donald Trump,The Villages,Sumter,Florida,Sumter_Florida,20201023,Campaign rally
Kamala Harris,Atlanta,Fulton,Georgia,Fulton_Georgia,20201023,Voter mobilizaiton event at Morehouse College
Mike Pence,Indianapolis ,Marion,Indiana,Marion_Indiana,20201023,Cast early vote
Mike Pence,Swanton,Fulton,Ohio,Fulton_Ohio,20201023,Campaign rally
MIke Pence,West Mifflin,Allegheny,Pennsylvania,Allegheny_Pennsylvania,20201023,Campaign rally
Mike Pence,Tallahassee,Leon,Florida,Leon_Florida,20201024,Airport campaign rally
Donald Trump,West Palm Beach,Palm Beach,Florida,Palm Beach_Florida,20201024,Cast early vote
Mike Pence,Lakeland,Polk,Florida,Polk_Florida,20201024,Campaign rally
Donald Trump,Lumberton,Robson,North Carolina,Robson_North Carolina,20201024,Campaign rally
Kamala Harris,Cleveland,Cuyahoga,Ohio,Cuyahoga_Ohio,20201024,Early voting event
Donald Trump,Circleville,Pickaway,Ohio,Pickaway_Ohio,20201024,Campaign rally
Joe Biden,Bristol,Bucks,Pennsylvania,Bucks_Pennsylvania,20201024,Drive-in campaign rally
Joe Biden,Dallas,Luzerne,Pennsylvania,Luzerne_Pennsylvania,20201024,Drive-in campaign rally with Bon Jovi
Donald Trump,Waukesha,Waukesha,Wisconsin,Waukesha_Wisconsin,20201024,Airport campaign rally
Donald Trump,Bangor ,Penobscot,Maine,Penobscot_Maine,20201025,Airport campaign rally
Kamala Harris,Pontiac,Oakland,Michigan,Oakland_Michigan,20201025,Drive-in campaign rally
Kamala Harris,Troy,Oakland,Michigan,Oakland_Michigan,20201025,Canvass kickoff event
Kamala Harris,Detroit,Wayne,Michigan,Wayne_Michigan,20201025,Attend drive-in church service; canvass kickoff
Donald Trump,Londonderry,Rockingham,New Hampshire,Rockingham_New Hampshire,20201025,Airport campaign rally
Mike Pence,Kinston,Lenoir,North Carolina,Lenoir_North Carolina,20201025,Campaign rally
Mike Pence,Hibbing,St Louis,Minnesota,St Louis_Minnesota,20201026,Airport campaign rally
Donald Trump,Martinsburg,Blair,Pennsylvania,Blair_Pennsylvania,20201026,Airport campaign rally
Joe Biden,Chester,Chester,Pennsylvania,Chester_Pennsylvania,20201026,Greeted voters
Donald Trump,Lititz,Lancaster,Pennsylvania,Lancaster_Pennsylvania,20201026,Airport campaign rally
Donald Trump,Allentown,Lehigh,Pennsylvania,Lehigh_Pennsylvania,20201026,Airport campaign rally
Joe Biden,Atlanta,Fulton,Georgia,Fulton_Georgia,20201027,Drive-in campaign rally
Joe Biden,Warm Springs,Meriwether,Georgia,Meriwether_Georgia,20201027,Speech on uniting the nation
Donald Trump,Lansing,Ingham,Michigan,Ingham_Michigan,20201027,Airport campaign rally
Kamala Harris,Las Vegas,Clark,Nevada,Clark_Nevada,20201027,Early voter mobilization event
Kamala Harris,Reno,Washoe,Nevada,Washoe_Nevada,20201027,Early voter mobilization event
Mike Pence,Greensboro,Guliford,North Carolina,Guliford_North Carolina,20201027,Campaign rally
Donald Trump,Omaha,Douglas,North Carolina,Douglas_North Carolina,20201027,Airport campaign rally
Mike Pence,Greenville,Greenville,South Carolina,Greenville_South Carolina,20201027,Campaign rally
Donald Trump,West Salem,LaCrosse,Wisconsin,LaCrosse_Wisconsin,20201027,Airport campaign rally
Donald Trump,Goodyear,Maricopa,Arizona,Maricopa_Arizona,20201028,Airport campaign rally
Kamala Harris,Phoenix,Maricopa,Arizona,Maricopa_Arizona,20201028,Meeting with Black leaders; drive-in rally
Donald Trump,Bullhead City,Mohave,Arizona,Mohave_Arizona,20201028,Airport campaign rally
Kamala Harris,Tucson,Pima,Arizona,Pima_Arizona,20201028,Meeting with Latina business owners; drive-in rally
MIke Pence,Flint,Genesee,Maine,Genesee_Maine,20201028,Airport campaign rally
Mike Pence,Mosinee,Marathon,Wisconsin,Marathon_Wisconsin,20201028,Airport campaign rally
Joe Biden,Broward County,Broward,Florida,Broward_Florida,20201029,Drive-in campaign rally
Donald Trump,Tampa,Hillsborough,Florida,Hillsborough_Florida,20201029,Campaign rally
Joe Biden,Tampa,Hillsborough,Florida,Hillsborough_Florida,20201029,Drive-in campaign rally
Mike Pence,Des Moines,Polk,Iowa,Polk_Iowa,20201029,Airport campaign rally
Mike Pence,Reno,Washoe,Nevada,Washoe_Nevada,20201029,Airport campaign rally
Donald Trump,Fayetteville,Cumberland,North Carolina,Cumberland_North Carolina,20201029,Airport campaign rally
Donald Trump,Fort Bragg,Cumberland,North Carolina,Cumberland_North Carolina,20201029,Military vist
Mike Pence,Flagstaff,Coconino,Arizona,Coconino_Arizona,20201030,Airport rally
Mike Pence,Tucson,Pima,Arizona,Pima_Arizona,20201030,Airport rally
Joe Biden,Des Moines,Polk,Iowa,Polk_Iowa,20201030,Drive-in campaign rally
Donald Trump,Waterford Township,Oakland,Michigan,Oakland_Michigan,20201030,Airport rally
Donald Trump,Rochester,Olmstead,Minnesota,Olmstead_Minnesota,20201030,Airport rally
Joe Biden,St. Paul,Ramsey,Minnesota,Ramsey_Minnesota,20201030,Drive-in campaign rally
Kamala Harris,Houston,Harris,Texas,Harris_Texas,20201030,Voter mobilization event
Kamala Harris,McAllen,Hidalgo,Texas,Hidalgo_Texas,20201030,Voter mobilization event with Beto O'Rourke
Kamala Harris,Ft. Worth,Tarrant,Texas,Tarrant_Texas,20201030,Voter mobilization event
Donald Trump,Green Bay,Brown,Wisconsin,Brown_Wisconsin,20201030,Airport rally
Joe Biden,Milwaukee,Milwaukee,Wisconsin,Milwaukee_Wisconsin,20201030,Campaign speech
Kamala Harris,Ft. Lauderdale,Broward,Florida,Broward_Florida,20201031,Early voting event
Kamala Harris,Miami,Miami-Dade,Florida,Miami-Dade_Florida,20201031,Drive-in events
Kamala Harris,Lake Worth,Palm beach,Florida,Palm beach_Florida,20201031,Voter turnout event
Joe Biden,Flint,Genesee,Maine,Genesee_Maine,20201031,Drive-in event with Barack Obama
Joe Biden,Bloomfield Hills,Oakland,Michigan,Oakland_Michigan,20201031,Campaign stop with Barack Obama
Joe Biden,Detroit,Wayne,Michigan,Wayne_Michigan,20201031,Drive-in event with Barack Obama
